exp_id,MASE,SoftDTW,TPAloss,SQL,var,em,block,TPA,Neff,maxw
B11-M-038,0.101966524517232,30.0199740760362,0.166666666666667,0.1001226796823035,HCPI,EM8,A,0.833333333333333,1.315436241610738,0.869047619047619
B11-M-039,0.0680728382446708,14.2120005132416,0.0,0.0855277409651693,HCPI,EM8,A,1.0,2.0345800988002822,0.526881720430108
B11-M-040,0.14694314656313,94.4480115601352,0.0,0.1470320102783669,HCPI,EM8,A,1.0,2.6470588235294112,0.566666666666667
B11-M-041,0.174779452554072,44.8760013336321,0.0,0.1551506912546639,HCPI,EM8,A,1.0,2.5989847715736056,0.583333333333333
B11-M-042,0.173560931427534,115.665933966804,0.0,0.138236933150334,HCPI,EM8,A,1.0,3.8506329113924096,0.41025641025641
B11-M-043,0.0954314198288331,13.4998901065513,0.166666666666667,0.0874039110943374,HCPI,EM9,A,0.833333333333333,1.869158878504673,0.69
B11-M-044,0.0680589930335611,14.2192302908248,0.0,0.0730748697759934,HCPI,EM9,A,1.0,1.1708586296617518,0.922222222222222
B11-M-045,0.107739834705212,38.1184575515191,0.0,0.0844217530722854,HCPI,EM9,A,1.0,1.8960940462646951,0.69
B11-M-046,0.0846400264935233,39.9072289649728,0.0,0.0931151812986289,HCPI,EM9,A,1.0,3.333333333333333,0.36
B11-M-047,0.118213381525753,33.9718495572143,0.0,0.0886217804875633,HCPI,EM9,A,1.0,2.18821165438714,0.646464646464647
B11-M-048,0.139392261161242,70.5584289088186,0.0,0.1102245582626543,HCPI,EM9,A,1.0,2.9817462731974436,0.525252525252525
B11-M-049,0.0956507560403353,13.4668217698509,0.166666666666667,0.0876442777073738,HCPI,EM10,A,0.833333333333333,1.8375597206909229,0.7
B11-M-050,0.0686985501833914,14.5663689669271,0.0,0.0733035947843376,HCPI,EM10,A,1.0,1.1648484848484846,0.924731182795699
B11-M-051,0.106335916953266,37.361589563112,0.0,0.0837998504426441,HCPI,EM10,A,1.0,1.9440124416796265,0.68
B11-M-052,0.084441050859231,39.7901939011458,0.0,0.0939633817865945,HCPI,EM10,A,1.0,3.3268072289156625,0.382978723404255
B11-M-053,0.12194526634519,29.8810064962804,0.0,0.0916941191823298,HCPI,EM10,A,1.0,2.112378538234051,0.66
B11-M-054,0.140420005108149,72.4119680378108,0.0,0.1115523530599678,HCPI,EM10,A,1.0,3.173584905660376,0.494252873563219
B11-M-055,0.0956507560403353,13.4668217698509,0.166666666666667,0.0876442777073738,HCPI,EM11,A,0.833333333333333,1.8375597206909229,0.7
B11-M-056,0.0682768641505361,14.3371106171987,0.0,0.073152787086529,HCPI,EM11,A,1.0,1.1688073394495413,0.923076923076923
B11-M-057,0.107739834705212,38.1184575515191,0.0,0.0844217530722854,HCPI,EM11,A,1.0,1.8960940462646951,0.69
B11-M-058,0.0857077042740217,41.4882827731756,0.0,0.0939427532365813,HCPI,EM11,A,1.0,3.306878306878307,0.36
B11-M-059,0.117692101703168,34.1437290957104,0.0,0.0882141132429327,HCPI,EM11,A,1.0,2.115059221658206,0.66
B11-M-060,0.137879295903393,68.1960089344643,0.0,0.1091032866237691,HCPI,EM11,A,1.0,3.0940594059405924,0.51
B11-M-061,0.0511910813417122,-3.741522680969,0.0,0.0740395489350787,HCPI,EM12,A,1.0,3.659665499805524,0.402061855670103
B11-M-062,0.0781529377270128,12.3034058437481,0.0,0.0778941539850953,HCPI,EM12,A,1.0,1.6683997689196997,0.736842105263158
B11-M-063,0.0625417651305014,9.27293794960786,0.0,0.065561939091694,HCPI,EM12,A,1.0,2.1380231522707023,0.63265306122449
B11-M-064,0.0925455932626593,41.5916052150135,0.0,0.1055062557213626,HCPI,EM12,A,1.0,3.6094420600858372,0.379310344827586
B11-M-065,0.117672019686832,17.1788061642182,0.0,0.1296105743313601,HCPI,EM12,A,1.0,6.759999999999994,0.230769230769231
B11-M-066,0.167746205462417,104.090199009277,0.0,0.1344518913640552,HCPI,EM12,A,1.0,4.871886120996443,0.351351351351351
B11-M-067,0.0741826412343131,7.00120825060305,0.166666666666667,0.0683452652926599,HCPI,EM13,A,0.833333333333333,2.4679170779861797,0.5
B11-M-068,0.0609440737495475,6.5974955958092,0.0,0.06499121658714,HCPI,EM13,A,1.0,1.8092767775404341,0.662337662337662
B11-M-069,0.0645753617254705,11.5268044669518,0.0,0.066680750622327,HCPI,EM13,A,1.0,2.1813932784331187,0.606060606060606
B11-M-070,0.102316585798535,63.6223548637756,0.0,0.127369442339608,HCPI,EM13,A,1.0,2.9355481727574784,0.521276595744681
B11-M-071,0.179257070238828,52.2235398966727,0.0,0.1504238415257543,HCPI,EM13,A,1.0,3.632507349853004,0.473118279569892
B11-M-072,0.202923547228254,89.8868024050885,0.0,0.1840362809615944,HCPI,EM13,A,1.0,4.940329218106999,0.357142857142857
B11-M-073,0.117988434209625,25.4451760548376,0.166666666666667,0.0954907496409066,HCPI,EM14,A,0.833333333333333,2.4676108051403096,0.463917525773196
B11-M-074,0.0760648051507072,10.0611547324096,0.0,0.0818504311988873,HCPI,EM14,A,1.0,1.1539349180706207,0.93
B11-M-075,0.0596070115790111,12.400901700278,0.0,0.066962348809361,HCPI,EM14,A,1.0,1.7953837699212303,0.727272727272727
B11-M-076,0.163941160762167,106.09435061296,0.0,0.1768024596775393,HCPI,EM14,A,1.0,2.898630136986301,0.543478260869565
B11-M-077,0.206110612202354,66.9153984784185,0.25,0.1695620159570046,HCPI,EM14,A,0.75,3.26086956521739,0.488888888888889
B11-M-078,0.206290358314794,51.5371749159091,0.25,0.1668584832151785,HCPI,EM14,A,0.75,4.266211604095564,0.43
