var,em,origin,MAE,RMSE,WAPE_pct,bias_pct,MAE_yoy,RMSE_yoy,bias_yoy,w80_pct,cov80,w60_pct,cov60,w20_pct,cov20,IS80,IS60,pinball_pct,level
HCPI,EM16,2025-05-01,4.13333,4.77982,1.97429,-1.97429,2.01739,2.33104,-2.01739,31.63018,1.0,20.77219,1.0,6.2529,0.91667,31.63018,20.77219,1.63584,209.35833
HCPI,EM16,2025-06-01,3.24871,4.8225,1.5448,-1.54006,1.57374,2.33117,-1.56886,10.21717,1.0,5.79862,0.83333,1.59889,0.33333,10.21717,6.76818,0.6905,210.3
HCPI,EM16,2025-07-01,5.85133,7.43224,2.76746,-2.76746,2.83249,3.5831,-2.83249,8.75008,0.91667,4.86805,0.5,1.28287,0.0,9.49647,8.76057,1.00424,211.43333
HCPI,EM16,2025-08-01,7.2,8.22121,3.38518,-3.38518,3.48945,3.9686,-3.48945,31.1339,1.0,20.44627,1.0,6.15479,0.66667,31.1339,20.44627,1.78397,212.69167
HCPI,EM16,2025-09-01,4.12539,5.42321,1.927,-1.927,1.99111,2.61105,-1.99111,14.04981,1.0,9.2268,1.0,2.77748,0.25,14.04981,9.2268,0.87201,214.08333
HCPI,EM17,2025-04-01,49.6857,49.70059,23.82531,23.82531,24.19577,24.204,24.19577,23.14553,0.0,16.62887,0.0,3.5632,0.0,109.42454,68.92457,8.12849,208.54167
HCPI,EM17,2025-05-01,1.24814,1.75333,0.59617,-0.22107,0.60648,0.85047,-0.22179,7.55326,1.0,4.32891,1.0,0.94978,0.33333,7.55326,4.32891,0.39315,209.35833
HCPI,EM17,2025-06-01,3.93696,4.06616,1.87207,1.26204,1.91985,1.98522,1.30043,9.66316,1.0,5.95742,0.83333,1.52478,0.0,9.66316,6.05303,0.67199,210.3
HCPI,EM17,2025-07-01,3.40991,5.07758,1.61276,-0.97551,1.64988,2.4442,-0.98708,8.73799,1.0,5.37978,0.83333,1.54623,0.33333,8.73799,6.49398,0.67638,211.43333
HCPI,EM17,2025-08-01,4.73096,6.46869,2.22433,-2.22433,2.28332,3.11259,-2.28332,7.92972,0.83333,4.75455,0.66667,1.35629,0.16667,8.55859,8.06687,0.86018,212.69167
HCPI,EM17,2025-09-01,4.61004,5.94877,2.15338,-1.2828,2.22902,2.86694,-1.3126,17.85815,1.0,11.72781,1.0,3.53034,0.33333,17.85815,11.72781,1.07086,214.08333
HCPI,EM18,2025-04-01,11.05117,11.2121,5.29926,5.29926,5.37522,5.447,5.37522,42.40322,1.0,27.84706,0.91667,8.3826,0.5,42.40322,28.24487,2.55131,208.54167
HCPI,EM18,2025-05-01,68.68278,68.91783,32.80633,-32.80633,33.45409,33.5548,-33.45409,54.68999,0.08333,49.11835,0.0,16.5809,0.0,70.01459,69.99563,11.61044,209.35833
HCPI,EM18,2025-06-01,68.57349,68.89437,32.60746,-32.60746,33.38777,33.53188,-33.38777,54.61708,0.16667,49.5246,0.0,17.18347,0.0,73.67716,68.88187,11.46144,210.3
HCPI,EM18,2025-07-01,68.71819,69.15412,32.50112,-32.50112,33.44727,33.64281,-33.44727,54.20846,0.16667,49.64675,0.0,18.21547,0.0,77.77775,68.86084,11.36174,211.43333
HCPI,EM18,2025-08-01,69.0137,69.49968,32.44777,-32.44777,33.56613,33.77872,-33.56613,53.78772,0.16667,49.48793,0.0,19.46166,0.0,81.95839,69.86171,11.32541,212.69167
HCPI,EM18,2025-09-01,8.60618,9.7184,4.02001,-4.02001,4.1651,4.69079,-4.1651,25.38691,1.0,16.67211,1.0,5.01868,0.16667,25.38691,16.67211,1.62477,214.08333
HCPI,EM2,2025-04-01,5.7378,6.03762,2.75139,-2.75139,2.79158,2.93492,-2.79158,8.94335,1.0,6.13172,0.91667,1.8001,0.16667,8.94335,6.30196,0.84211,208.54167
HCPI,EM2,2025-05-01,3.17674,3.97812,1.51737,-1.51737,1.54349,1.92938,-1.54349,11.63854,1.0,8.10198,1.0,2.50079,0.41667,11.63854,8.10198,0.74308,209.35833
